Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:09imUl1oyaB2R86qBgEhCN,"Talk My Shit (feat. Amaarae & Flo Milli)","Bando Stone and The New World","Childish Gambino;Amaarae;Flo Milli",2024-07-19,225906,49,true,,1970-01-01T00:00:00Z,"alté,afrobeats,afro r&b","Wolf+Rothstein/RCA Records",0.778,0.674,10,-7.66,1,0.0967,0.0121,0.0000633,0.688,0.411,141.079,4
spotify:track:5CB3aajC1otFwEzw4waZNc,"In The Night (feat. Jorja Smith & Amaarae)","In The Night (feat. Jorja Smith & Amaarae)","Childish Gambino;Jorja Smith;Amaarae",2024-07-16,229999,44,true,,1970-01-01T00:00:00Z,"alté,afrobeats,afro r&b","Wolf+Rothstein/RCA Records",0.691,0.588,5,-9.64,1,0.0928,0.048,0.154,0.157,0.371,96.118,4
spotify:track:77DRzu7ERs0TX3roZcre7Q,"euphoria","euphoria","Kendrick Lamar",2024-04-30,383639,74,true,,1970-01-01T00:00:00Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.831,0.643,1,-5.002,1,0.11,0.046,0,0.084,0.142,139.948,4
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,87,true,,1970-01-01T00:00:00Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
spotify:track:4p2HhC8KX8pGLyNDQ0Ednd,"Got To Be","Bando Stone and The New World","Childish Gambino",2024-07-19,176207,45,true,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.696,0.688,2,-7.785,1,0.0618,0.0272,0.000133,0.436,0.255,131.98,4
spotify:track:1Dioc5wCu4sUXTjwQv4Cuw,"Straight From The Heart","Straight From The Heart","Dance Gavin Dance",2024-05-09,214964,40,true,,1970-01-01T00:00:00Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.352,0.99,7,-2.098,1,0.143,0.000604,0,0.67,0.31,199.946,4
spotify:track:44MuEHdlociG8KjhPhOVw5,"Padam Padam","Tension (Deluxe)","Kylie Minogue",2023-09-22,166266,67,false,,1970-01-01T00:00:00Z,"dance pop","BMG Rights Management (UK) Ltd.",0.744,0.621,5,-7.931,1,0.242,0.216,0.00119,0.104,0.701,128.105,4
spotify:track:4S8PxReB1UiDR2F5x1lyIR,"meet the grahams","meet the grahams","Kendrick Lamar",2024-05-03,392138,69,true,,1970-01-01T00:00:00Z,"hip hop,west coast hip hop","Kendrick Lamar under exclusive license to Interscope Records",0.479,0.802,5,-6.252,1,0.309,0.55,0.00045,0.11,0.602,74.98,4
spotify:track:0rolt9kLR9GFlElTSSds2z,"Witchy (feat. Childish Gambino)","TIMELESS","KAYTRANADA;Childish Gambino",2024-06-07,227000,47,true,,1970-01-01T00:00:00Z,"","KAYTRANADA/RCA Records",0.592,0.619,5,-8.183,1,0.137,0.00125,0.000918,0.119,0.319,109.924,4
spotify:track:3djWekEDgbhAtkXGdFNbFt,"BALD!","EP!","JPEGMAFIA",2020-11-06,153932,53,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,experimental","Universal Records",0.594,0.917,10,-2.382,1,0.3,0.0372,0,0.495,0.675,154.703,4
spotify:track:16rvPyhsZXi5K6j5yYe3AS,"Speed Demon","Speed Demon","Dance Gavin Dance",2024-05-10,190861,43,true,,1970-01-01T00:00:00Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.463,0.981,7,-2.783,0,0.0947,0.000819,0,0.221,0.526,146.966,4
spotify:track:2tudvzsrR56uom6smgOcSf,"Like That","WE DON'T TRUST YOU","Future;Metro Boomin;Kendrick Lamar",2024-03-22,267706,82,true,,1970-01-01T00:00:00Z,"rap,hip hop,west coast hip hop","Wilburn Holding Co./Boominati/Epic/Republic",0.814,0.676,11,-4.67,0,0.231,0.00709,0.0000128,0.119,0.312,162.012,4
spotify:track:4JfpJrrGNXRj2yXm1fYV23,"Lithonia","Lithonia","Childish Gambino",2024-07-02,179320,60,true,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.415,0.383,1,-7.629,1,0.0287,0.0948,0,0.118,0.172,140.102,4
spotify:track:5467KZaTToEB680WvOd9w5,"Ocean Prime (feat. Boldy James)","Yacht Rock 2","The Alchemist;Boldy James",2019-08-30,99906,60,true,,1970-01-01T00:00:00Z,"alternative hip hop,jazz rap,experimental hip hop,boom bap","ALC",0.583,0.604,2,-8.437,1,0.456,0.735,0,0.724,0.691,49.305,5
spotify:track:5KUNwkaNf8l5A9sXZhiCgI,"Rapp Snitch Knishes","MM..FOOD","MF DOOM;Mr. Fantastik",2004-11-16,172893,74,true,,1970-01-01T00:00:00Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.728,0.832,7,-6.827,1,0.267,0.327,0,0.504,0.825,95.051,4
spotify:track:1tnZxHryc2wWtjUZC1LQw5,"Noid","Noid","Tyler, The Creator",2024-10-21,284363,59,true,,1970-01-01T00:00:00Z,"","Columbia",0.38,0.77,1,-5.993,1,0.242,0.473,0.000151,0.243,0.47,82.157,4
spotify:track:4lovbNtAeIxtXWy9bwEsQk,"Steps Beach","Bando Stone and The New World","Childish Gambino",2024-07-19,228896,52,false,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.648,0.397,11,-10.437,0,0.0586,0.622,0.00000618,0.476,0.362,99.644,4
spotify:track:5EIkdrmuu2xkoQWOWjoeFY,"Dynasties & Dystopia (from the series Arcane League of Legends)","Dynasties & Dystopia (from the series Arcane League of Legends)","Denzel Curry;Gizzle;Bren Joy;Arcane;League of Legends",2021-11-20,178080,1,false,,1970-01-01T00:00:00Z,"","Riot Games",0.703,0.834,1,-5.134,1,0.0603,0.0139,0,0.1,0.863,153.97,4
spotify:track:7ovUcF5uHTBRzUpB6ZOmvt,"アイドル","アイドル","YOASOBI",2023-04-12,213233,71,false,,1970-01-01T00:00:00Z,"j-pop,anime","YOASOBI",0.574,0.935,1,-2.783,1,0.0926,0.112,0.00000107,0.367,0.836,166.008,4
spotify:track:7wdPcQelvo5mueWxKzAzZ9,"In Enough Time","In Enough Time","Gold Necklace",2024-02-06,218160,36,false,,1970-01-01T00:00:00Z,"math rock,post-hardcore","Gold Necklace",0.657,0.856,1,-7.188,0,0.0439,0.0129,0.287,0.131,0.573,118,4
spotify:track:17L09JJ5W7F5ou68mcAeMJ,"Real Love","Bando Stone and The New World","Childish Gambino",2024-07-19,137398,50,false,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.726,0.825,0,-7.915,1,0.0277,0.12,0.000235,0.314,0.645,127.501,4
spotify:track:2O4Bb2WCkjlTPO827OnBMI,"EASY","EASY","LE SSERAFIM",2024-02-19,164545,74,false,,1970-01-01T00:00:00Z,"k-pop","SOURCE MUSIC",0.744,0.7,0,-5.154,1,0.0507,0.189,0.00000274,0.114,0.602,165.004,4
spotify:track:6OkDb9fyi22Pr6QJIrUNdJ,"Rhymes Like Dimes","Operation: Doomsday (Complete)","MF DOOM;DJ Cucumber Slice",1999-10-19,258613,66,true,,1970-01-01T00:00:00Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Metalface Records",0.646,0.752,0,-5.652,1,0.268,0.664,0,0.17,0.761,99.948,4
spotify:track:1aKvZDoLGkNMxoRYgkckZG,"Magnetic","SUPER REAL ME","ILLIT",2024-03-25,160688,81,false,,1970-01-01T00:00:00Z,"k-pop","BELIFT LAB",0.797,0.668,6,-5.819,1,0.0687,0.257,0,0.0876,0.69,131.067,4
spotify:track:2UIraNrjFYMnu1HI15QR4S,"Survive (feat. Chlöe)","Bando Stone and The New World","Childish Gambino;Chlöe",2024-07-19,247125,48,true,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.465,0.797,0,-6.856,1,0.0871,0.00567,0.000994,0.478,0.29,171.965,4
spotify:track:6rdkCkjk6D12xRpdMXy0I2,"New Jeans","NewJeans 'Super Shy'","NewJeans",2023-07-07,108986,78,false,,1970-01-01T00:00:00Z,"k-pop","ADOR",0.807,0.721,4,-6.211,0,0.0508,0.51,0.00216,0.115,0.532,134.014,4
spotify:track:5RePVWy39tLpHH0WwXgBsK,"Rah Tah Tah","CHROMAKOPIA","Tyler, The Creator",2024-10-28,165412,72,true,,1970-01-01T00:00:00Z,"","Columbia",0.661,0.878,1,-4.099,1,0.31,0.00289,0,0.381,0.514,82.557,4
spotify:track:6Dk5fHTvH897XrVzCO64Mx,"What You Won't Do for Love","What You Won't Do for Love","Bobby Caldwell",1978,286493,72,false,,1970-01-01T00:00:00Z,"yacht rock","Big Deal Records",0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,4
spotify:track:2pNYM3OcS7WdCW13TuhMeK,"Yoshinoya","Bando Stone and The New World","Childish Gambino",2024-07-19,202409,49,true,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.415,0.839,10,-9.862,0,0.537,0.0682,0,0.428,0.614,163.915,4
spotify:track:33omqR79fIXhaqdO4kQFAz,"Puff Daddy","Puff Daddy","JPEGMAFIA;Kenny Beats",2018-11-07,127335,34,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,experimental","EQT Recordings, LLC",0.876,0.807,10,-4.466,0,0.18,0.245,0,0.125,0.691,135.754,4
spotify:track:0lqAn1YfFVQ3SdoF7tRZO2,"THE BEACH","RAMONA PARK BROKE MY HEART","Vince Staples",2022-04-08,67209,47,true,,1970-01-01T00:00:00Z,"","Motown",0.593,0.947,4,-6.206,0,0.631,0.888,0,0.823,0.682,157.85,4
spotify:track:083HuPvgqYBLUiv82bVxwE,"HOT ONE (with TiaCorine & A$AP Ferg)","HOT ONE (with TiaCorine & A$AP Ferg)","Denzel Curry;TiaCorine;A$AP Ferg",2024-06-05,165270,57,true,,1970-01-01T00:00:00Z,"rap","Loma Vista Recordings",0.766,0.724,5,-5.145,1,0.18,0.717,0,0.15,0.827,163.119,4
spotify:track:61wsDs3Dbb11h1m2tw9eMZ,"No Excuses (feat. Ludwig Göransson & Kamasi Washington)","Bando Stone and The New World","Childish Gambino;Ludwig Göransson;Kamasi Washington",2024-07-19,443205,46,false,,1970-01-01T00:00:00Z,"soundtrack,jazz","Wolf+Rothstein/RCA Records",0.686,0.57,2,-11.072,0,0.044,0.0242,0.271,0.149,0.0773,105.034,4
spotify:track:210JJAa9nJOgNa0YNrsT5g,"GODS","GODS","League of Legends;NewJeans",2023-10-04,220878,56,false,,1970-01-01T00:00:00Z,"k-pop","Riot Games",0.588,0.765,3,-5.914,0,0.0518,0.00685,0.0000323,0.2,0.492,145.988,4
spotify:track:2KslE17cAJNHTsI2MI0jb2,"Standing Next to You","GOLDEN","Jung Kook",2023-11-03,206019,82,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,4
spotify:track:5HrNebS0Z8YJq2xz4zZ9zl,"War Machine","War Machine","Dance Gavin Dance",2023-10-24,239904,40,true,,1970-01-01T00:00:00Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.473,0.963,9,-4.832,0,0.085,0.00645,0,0.0706,0.471,151.934,4
spotify:track:0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","CHROMAKOPIA","Tyler, The Creator;Teezo Touchdown",2024-10-28,253834,74,true,,1970-01-01T00:00:00Z,"","Columbia",0.373,0.818,3,-3.19,0,0.102,0.36,0,0.434,0.361,97.571,4
spotify:track:5AJ9hqTS2wcFQCELCFRO7A,"MILLION DOLLAR BABY","MILLION DOLLAR BABY","Tommy Richman",2024-04-26,155151,82,false,,1970-01-01T00:00:00Z,"","PULSE Records",0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4
spotify:track:21O0XXPEWPtePt5RMY93Ob,"All Caps","Madvillainy","Madvillain;Madlib;MF DOOM",2004-03-24,130479,69,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,jazz rap,east coast hip hop","Stones Throw Records",0.358,0.889,1,-8.045,1,0.335,0.266,0.0000146,0.172,0.666,85.61,4
spotify:track:5fqaeJMmqwhDzdYD7b4J51,"The Bottom 2","The Bottom 2","Glorb",2023-12-03,164903,60,true,,1970-01-01T00:00:00Z,"","Undawata",0.679,0.885,1,-3.575,1,0.0747,0.00228,0,0.44,0.404,155.105,4
spotify:track:1QoyuMHNBe7lg3YW4Qtll4,"St. Chroma (feat. Daniel Caesar)","CHROMAKOPIA","Tyler, The Creator;Daniel Caesar",2024-10-28,197019,76,true,,1970-01-01T00:00:00Z,"","Columbia",0.576,0.884,0,-5.058,1,0.555,0.357,0,0.368,0.373,150.45,4
spotify:track:5gW5dSy3vXJxgzma4rQuzH,"Make Me Feel","Dirty Computer","Janelle Monáe",2018-04-27,194230,58,true,,1970-01-01T00:00:00Z,"alternative r&b","Bad Boy Records",0.859,0.413,1,-7.399,1,0.182,0.132,0,0.334,0.697,115.035,4
spotify:track:4BnrGx9tWNF8aiXl1UhDBa,"One Beer","MM..FOOD","MF DOOM",2004-11-16,258586,71,true,,1970-01-01T00:00:00Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.376,0.718,7,-6.7,1,0.246,0.0996,0.00332,0.633,0.615,91.115,4
spotify:track:3IelG5zYpWWCZIH4cqWlPV,"SHOOTING STAR","SHOOTING STAR","XG",2023-01-25,203556,69,false,,1970-01-01T00:00:00Z,"k-pop","XGALX",0.625,0.712,2,-5.996,1,0.0539,0.0229,0,0.252,0.398,163.015,4
spotify:track:3Umj02ZNl4d356pS1D38mn,"Hey Jane","CHROMAKOPIA","Tyler, The Creator",2024-10-28,240742,64,true,,1970-01-01T00:00:00Z,"","Columbia",0.495,0.784,10,-7.027,0,0.42,0.555,0,0.621,0.669,94.563,4
spotify:track:43iIQbw5hx986dUEZbr3eN,"From The Start","Bewitched","Laufey",2023-09-08,169573,86,false,,1970-01-01T00:00:00Z,"","Laufey",0.554,0.339,1,-10.088,1,0.0779,0.886,0.00128,0.11,0.83,80.994,4
spotify:track:3oitd93DXSu9wfEEmoRVux,"Fool","Fool","Caravan Palace",2024-02-09,211058,16,false,,1970-01-01T00:00:00Z,"electro swing,swing music,nu jazz","Le Plan Recordings",0.503,0.544,5,-7.314,1,0.0287,0.72,0.369,0.0722,0.157,98.963,3
spotify:track:7sDkXyDikXhpRz715MdiEp,"PUPPET SHOW","NEW DNA","XG",2023-09-27,199960,62,false,,1970-01-01T00:00:00Z,"k-pop","XGALX",0.781,0.611,0,-6.211,1,0.136,0.081,0.0000034,0.208,0.722,149.996,4
spotify:track:6ie0uyyvOKTTuIFBMPiNIl,"Judge Judy","CHROMAKOPIA","Tyler, The Creator",2024-10-28,269622,67,true,,1970-01-01T00:00:00Z,"","Columbia",0.622,0.661,1,-5.906,1,0.0826,0.297,0.000135,0.165,0.362,76.331,4
